Week,Date,Weight
1,4/29/2018,159.0
2,5/6/2018,
3,5/13/2018,
4,5/20/2018,
5,5/27/2018,
6,6/3/2018,
7,6/10/2018,
8,6/17/2018,
9,6/24/2018,
10,7/1/2018,
11,7/8/2018,
12,7/15/2018,
13,7/22/2018,
14,7/29/2018,
15,8/5/2018,
16,8/12/2018,
17,8/19/2018,
18,8/26/2018,
19,9/2/2018,
20,9/9/2018,
21,9/16/2018,
22,9/23/2018,
23,9/30/2018,
24,10/7/2018,
25,10/14/2018,
26,10/21/2018,
27,10/28/2018,
28,11/4/2018,
29,11/11/2018,
30,11/18/2018,
31,11/25/2018,
32,12/2/2018,
33,12/9/2018,
34,12/16/2018,
35,12/23/2018,
36,12/30/2018,
37,1/6/2019,
38,1/13/2019,
39,1/20/2019,
40,1/27/2019,
41,2/3/2019,
42,2/10/2019,
43,2/17/2019,
44,2/24/2019,
45,3/3/2019,
46,3/10/2019,
47,3/17/2019,
48,3/24/2019,
49,3/31/2019,
50,4/7/2019,
51,4/14/2019,
52,4/21/2019,
